Property,Date,Unit,Price,Listing status,Beds,Baths,ft�
20 Pine Street,02/21/2013,#3004,"$2,250,000",Sold (cannot find gov't record),2 beds,2 baths,1575
20 Pine Street,02/20/2013,#3004,"$1,650,000",Recorded Closing,2 beds,2 baths,1575
20 Pine Street,02/08/2013,#612,"$712,500","Sold (asking: $749,000.00 -4.87%)",studio,1 bath,800
20 Pine Street,02/05/2013,#1812,"$799,000",Sold (cannot find gov't record),1 bed,1 bath,788
20 Pine Street,02/01/2013,#2409,"$1,845,000",Sold (cannot find gov't record),2 beds,2 baths,1444
20 Pine Street,02/01/2013,#1906,"$2,025,000",Recorded Closing,2 beds,3 baths,1807
20 Pine Street,01/30/2013,#2409,"$1,350,000",Recorded Closing,2 beds,2 baths,1444
20 Pine Street,01/29/2013,#1915,"$630,000","Sold (asking: $658,000.00 -4.26%)",1 bed,1 bath,703
20 Pine Street,01/24/2013,#703,"$655,000",Sold (cannot find gov't record),studio,1 bath,656
20 Pine Street,01/23/2013,#3204,"$2,385,000",Sold (cannot find gov't record),2 beds,2 baths,1572
20 Pine Street,01/22/2013,#3204,"$1,450,000",Recorded Closing,2 beds,2 baths,1573
20 Pine Street,01/18/2013,#2503,"$661,863","Sold (asking: $925,000.00 -28.45%)",studio,1 bath,706
20 Pine Street,01/18/2013,#1812,"$730,000","Sold (asking: $845,000.00 -13.61%)",studio,1 bath,788
20 Pine Street,01/16/2013,#3104,"$1,550,000","Sold (asking: $1,995,000.00 -22.31%)",2 beds,2 baths,1573
20 Pine Street,01/08/2013,#1502,$0,Recorded Closing,2 beds,2 baths,1277
20 Pine Street,01/08/2013,#607,$0,Recorded Closing,,1 bath,675
20 Pine Street,01/07/2013,#703 ,"$655,000",Sold (cannot find gov't record),studio,1 bath,656
20 Pine Street,12/31/2012,#2801,"$1,800,000",Recorded Closing,3 beds,3 baths,1808
20 Pine Street,12/31/2012,#2801,"$1,195,200",Recorded Closing,3 beds,3 baths,1808
20 Pine Street,12/27/2012,#703,"$655,000","Sold (asking: $649,000.00 0.92%)",studio,1 bath,656
20 Pine Street,12/22/2012,#518,"$1,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,12/17/2012,#2807,$0,Recorded Closing,2 beds,1 bath,1183
20 Pine Street,12/14/2012,#PH22 ,"$3,490,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1830
20 Pine Street,12/14/2012,#2208,"$827,500","Sold (asking: $850,000.00 -2.65%)",studio,1 bath,927
20 Pine Street,12/10/2012,#1603,"$650,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,12/10/2012,#2607,$1,Recorded Closing,2 beds,2 baths,1275
20 Pine Street,12/10/2012,#1707,$1,Recorded Closing,,1 bath,675
20 Pine Street,11/30/2012,#2113,"$750,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,817
20 Pine Street,11/30/2012,#1107,"$635,000","Sold (asking: $639,000.00 -0.63%)",studio,1 bath,675
20 Pine Street,11/29/2012,#2406,"$1,765,000","Sold (asking: $2,475,000.00 -28.69%)",2 beds,2 baths,1807
20 Pine Street,11/26/2012,#2801,$0,Recorded Closing,3 beds,3 baths,1808
20 Pine Street,11/26/2012,#1019,$0,Recorded Closing,1 bed,1 bath,826
20 Pine Street,11/11/2012,#2314,"$1,050,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,11/09/2012,#1613,$0,Recorded Closing,3 beds,2 baths,1585
20 Pine Street,10/24/2012,#1619,"$990,000",Sold (cannot find gov't record),1 bed,1 bath,826
20 Pine Street,10/23/2012,#907,"$665,000",Sold (cannot find gov't record),studio,1 bath,675
20 Pine Street,10/23/2012,#2306,"$1,825,000","Sold (asking: $2,445,000.00 -25.36%)",3 beds,2 baths,1807
20 Pine Street,10/19/2012,#2501,"$1,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1295
20 Pine Street,10/19/2012,#907,"$638,000",Recorded Closing,,,
20 Pine Street,10/16/2012,#1211,"$985,000","Sold (asking: $1,099,000.00 -10.37%)",studio,1 bath,1223
20 Pine Street,10/08/2012,#2605,$0,Recorded Closing,1 bed,1 bath,722
20 Pine Street,10/03/2012,#2111,$0,Recorded Closing,,1 bath,600
20 Pine Street,09/26/2012,#1518,$0,Recorded Closing,2 beds,2 baths,1387
20 Pine Street,09/25/2012,#3302,"$1,365,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1185
20 Pine Street,09/25/2012,#617,"$749,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,09/25/2012,#2106,"$1,650,000","Sold (asking: $2,385,000.00 -30.82%)",3 beds,2 baths,1807
20 Pine Street,09/22/2012,#1218,"$1,620,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,09/21/2012,#2413,$0,Recorded Closing,1 bed,1 bath,817
20 Pine Street,09/11/2012,#2314,"$1,050,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,08/23/2012,#1812,"$687,318","Sold (asking: $845,000.00 -18.66%)",studio,1 bath,788
20 Pine Street,08/21/2012,#2111,"$625,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,650
20 Pine Street,08/15/2012,#1907,"$830,000",Recorded Closing,,1 bath,926
20 Pine Street,08/07/2012,#612,"$749,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,790
20 Pine Street,08/07/2012,#2506,"$1,110,000","Sold (asking: $1,175,000.00 -5.53%)",1 bed,2 baths,955
20 Pine Street,07/26/2012,#1616,"$850,000","Sold (asking: $875,000.00 -2.86%)",studio,1 bath,1005
20 Pine Street,07/12/2012,#3002,"$1,400,093","Sold (asking: $1,700,000.00 -17.64%)",1 bed,1.5 baths,1185
20 Pine Street,07/12/2012,#PH42,"$1,889,872","Sold (asking: $2,800,000.00 -32.5%)",1 bed,2 baths,1772
20 Pine Street,07/10/2012,#2001,"$875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,850
20 Pine Street,07/10/2012,#407,"$823,000","Sold (asking: $875,000.00 -5.94%)",studio,1 bath,1063
20 Pine Street,07/03/2012,#PH50,"$3,950,000",Sold (cannot find gov't record),2 beds,2 baths,2172
20 Pine Street,07/03/2012,#2011,"$615,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,595
20 Pine Street,07/02/2012,#609,"$613,000","Sold (asking: $655,000.00 -6.41%)",studio,1 bath,662
20 Pine Street,06/29/2012,#1203,"$600,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,06/28/2012,#PH50,"$3,850,000",Recorded Closing,2 beds,2 baths,2172
20 Pine Street,06/27/2012,#PH22,"$3,100,000",Sold (cannot find gov't record),2 beds,2 baths,1829
20 Pine Street,06/27/2012,#PH22,"$1,934,675",Recorded Closing,2 beds,2 baths,1830
20 Pine Street,06/21/2012,#3201,"$1,832,850","Sold (asking: $2,450,000.00 -25.19%)",3 beds,2 baths,1579
20 Pine Street,06/19/2012,#3003,$10,Recorded Closing,2 beds,2 baths,1200
20 Pine Street,06/17/2012,#1716,"$889,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,06/08/2012,#1108,$0,Recorded Closing,1 bed,1.5 baths,1200
20 Pine Street,06/08/2012,#2303,"$750,000","Sold (asking: $779,000.00 -3.72%)",studio,1 bath,820
20 Pine Street,06/06/2012,#1202,"$1,490,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1277
20 Pine Street,05/17/2012,#2506,$0,Recorded Closing,1 bed,2 baths,955
20 Pine Street,05/14/2012,#2903,"$945,000",Sold (cannot find gov't record),studio,1 bath,708
20 Pine Street,04/20/2012,#PH12,"$1,911,000","Sold (asking: $2,800,000.00 -31.75%)",2 beds,2 baths,1829
20 Pine Street,04/18/2012,#1912,"$812,250","Sold (asking: $855,000.00 -5.0%)",studio,1 bath,666
20 Pine Street,04/18/2012,#2502,"$870,720",Recorded Closing,,1 bath,
20 Pine Street,04/16/2012,#2006,"$1,985,000",Sold (cannot find gov't record),3 beds,2 baths,1807
20 Pine Street,04/13/2012,#1808,"$1,059,581",Recorded Closing,,,
20 Pine Street,04/05/2012,#2413,"$128,694",Recorded Closing,1 bed,1 bath,817
20 Pine Street,03/27/2012,#1403,"$551,891","Sold (asking: $625,000.00 -11.7%)",studio,1 bath,656
20 Pine Street,03/14/2012,#PH50,"$4,300,000",Sold (cannot find gov't record),2 beds,2 baths,2172
20 Pine Street,03/09/2012,#1904,"$799,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,700
20 Pine Street,03/02/2012,#3203,"$1,749,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1197
20 Pine Street,02/22/2012,#3101,"$2,000,000","Sold (asking: $2,250,000.00 -11.11%)",3 beds,2 baths,1579
20 Pine Street,02/20/2012,#1404,"$1,199,000",Sold (cannot find gov't record),1 bed,2 baths,1277
20 Pine Street,02/10/2012,#2212,"$725,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,667
20 Pine Street,02/02/2012,#605,"$925,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,1100
20 Pine Street,01/31/2012,#518,"$1,595,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,01/27/2012,#1101,"$890,000","Sold (asking: $929,000.00 -4.2%)",1 bed,1 bath,1050
20 Pine Street,01/23/2012,#1915,"$658,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,726
20 Pine Street,01/07/2012,#811,"$1,150,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1223
20 Pine Street,12/28/2011,#1009,"$540,000","Sold (asking: $695,000.00 -22.3%)",studio,1 bath,662
20 Pine Street,12/27/2011,#1508,"$1,150,000",Sold (cannot find gov't record),1 bed,1 bath,1208
20 Pine Street,12/20/2011,#1803,"$720,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,12/09/2011,#1216,$0,Recorded Closing,1 bed,1 bath,1005
20 Pine Street,12/09/2011,#1216,"$835,000","Sold (asking: $895,000.00 -6.7%)",studio,1 bath,1005
20 Pine Street,12/08/2011,#2902,"$680,000","Sold (asking: $970,000.00 -29.9%)",studio,1 bath,728
20 Pine Street,12/08/2011,#1508,"$1,050,000","Sold (asking: $1,150,000.00 -8.7%)",1 bed,1 bath,926
20 Pine Street,12/02/2011,#614,"$1,199,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1204
20 Pine Street,11/21/2011,#1615,"$661,862","Sold (asking: $865,000.00 -23.48%)",studio,1 bath,822
20 Pine Street,11/19/2011,#1006,"$979,900",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1070
20 Pine Street,11/11/2011,#407,"$875,000",Sold (cannot find gov't record),studio,1 bath,1063
20 Pine Street,10/31/2011,#1513,"$1,650,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,10/02/2011,#617,"$829,900",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,888
20 Pine Street,10/02/2011,#1006,"$979,900",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,10/02/2011,#1716,"$889,900",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,09/28/2011,#406,"$920,000","Sold (asking: $1,065,000.00 -13.62%)",studio,1 bath,1372
20 Pine Street,09/18/2011,#2303,"$785,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,820
20 Pine Street,09/09/2011,#402,"$985,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1000
20 Pine Street,08/24/2011,#2014,"$1,075,000",Sold (cannot find gov't record),1 bed,1 bath,991
20 Pine Street,08/16/2011,#2701,"$2,695,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,3 baths,1808
20 Pine Street,08/11/2011,#1010,"$844,000","Sold (asking: $935,000.00 -9.73%)",studio,1 bath,1101
20 Pine Street,08/10/2011,#2011,"$610,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,595
20 Pine Street,08/05/2011,#1711,"$1,300,000",Sold (cannot find gov't record),1 bed,1 bath,1225
20 Pine Street,08/05/2011,#2110,"$675,000",Sold (cannot find gov't record),studio,1 bath,607
20 Pine Street,08/04/2011,#2413,"$729,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,817
20 Pine Street,08/03/2011,#711,"$1,345,000",Sold (cannot find gov't record),studio,1 bath,1223
20 Pine Street,08/01/2011,#2106,"$2,385,000",Sold (cannot find gov't record),3 beds,2 baths,1807
20 Pine Street,07/30/2011,#3001,"$3,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1579
20 Pine Street,07/26/2011,#PH42,"$2,800,000",Sold (cannot find gov't record),2 beds,2 baths,1772
20 Pine Street,07/26/2011,#1714,"$1,165,000","Sold (asking: $1,289,000.00 -9.62%)",2 beds,2 baths,1204
20 Pine Street,07/25/2011,#1404,"$1,150,000","Sold (asking: $1,250,000.00 -8.0%)",1 bed,2 baths,1277
20 Pine Street,07/20/2011,#2206,"$1,672,140","Sold (asking: $2,415,000.00 -30.76%)",2 beds,2 baths,1807
20 Pine Street,07/19/2011,#2314,"$1,050,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,991
20 Pine Street,07/19/2011,#814,"$1,195,000",Sold (cannot find gov't record),1 bed,2 baths,1204
20 Pine Street,07/14/2011,#1503,"$588,000","Sold (asking: $625,000.00 -5.92%)",studio,1 bath,656
20 Pine Street,07/13/2011,#2208,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,927
20 Pine Street,07/08/2011,#PH50,"$4,200,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,2172
20 Pine Street,07/07/2011,#2204,"$635,000","Sold (asking: $695,000.00 -8.63%)",studio,1 bath,694
20 Pine Street,07/01/2011,#614,"$1,199,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1204
20 Pine Street,06/30/2011,#1511,"$865,000","Sold (asking: $915,000.00 -5.46%)",studio,1 bath,1223
20 Pine Street,06/30/2011,#2601,"$1,850,000","Sold (asking: $2,515,000.00 -26.44%)",3 beds,3 baths,1808
20 Pine Street,06/29/2011,#1111,"$885,000","Sold (asking: $945,000.00 -6.35%)",studio,1 bath,1223
20 Pine Street,06/27/2011,#1817,$0,Recorded Closing,1 bed,1 bath,888
20 Pine Street,06/22/2011,#1015,"$749,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,06/22/2011,#2015,"$770,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,703
20 Pine Street,06/21/2011,#413,"$850,000","Sold (asking: $899,000.00 -5.45%)",1 bed,1 bath,900
20 Pine Street,06/14/2011,#1807,"$739,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,05/30/2011,#612,"$795,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,800
20 Pine Street,05/25/2011,#607,"$685,000",Sold (cannot find gov't record),studio,1 bath,675
20 Pine Street,05/23/2011,#3301,"$2,695,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1579
20 Pine Street,05/20/2011,#607,"$635,748","Sold (asking: $685,000.00 -7.19%)",studio,1 bath,675
20 Pine Street,05/02/2011,#1604,"$1,085,000",Recorded Closing,2 beds,2 baths,1277
20 Pine Street,04/28/2011,#1701,"$860,421","Sold (asking: $910,000.00 -5.45%)",studio,1 bath,1005
20 Pine Street,04/28/2011,#813,$0,Recorded Closing,2 beds,2 baths,1585
20 Pine Street,04/27/2011,#1111,"$885,000","Sold (asking: $1,085,000.00 -18.43%)",studio,1 bath,1223
20 Pine Street,04/27/2011,#PH31,"$2,440,000","Sold (asking: $2,495,000.00 -2.2%)",3 beds,2 baths,1871
20 Pine Street,04/27/2011,#902,"$1,225,000","Sold (asking: $1,269,000.00 -3.47%)",2 beds,2 baths,1277
20 Pine Street,04/22/2011,#411,"$715,626","Sold (asking: $775,000.00 -7.66%)",studio,1 bath,881
20 Pine Street,04/19/2011,#1710,"$1,100,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,04/15/2011,#1417,"$722,957","Sold (asking: $775,000.00 -6.72%)",studio,1 bath,888
20 Pine Street,04/11/2011,#2706,"$850,000",Recorded Closing,1 bed,2 baths,956
20 Pine Street,04/02/2011,#1410,"$890,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1100
20 Pine Street,03/31/2011,#2309,"$1,338,000","Sold (asking: $1,845,000.00 -27.48%)",2 beds,2 baths,1444
20 Pine Street,03/25/2011,#918,"$1,150,000","Sold (asking: $1,510,000.00 -23.84%)",2 beds,2 baths,1387
20 Pine Street,03/23/2011,#1208,"$1,070,000","Sold (asking: $1,139,000.00 -6.06%)",1 bed,1.5 baths,1208
20 Pine Street,03/21/2011,#1816,"$977,520","Sold (asking: $960,000.00 1.82%)",studio,1 bath,1005
20 Pine Street,03/17/2011,#1705,"$875,000","Sold (asking: $875,000.00)",studio,1 bath,1100
20 Pine Street,03/17/2011,#1613,"$1,420,120","Sold (asking: $1,815,000.00 -21.76%)",2 beds,2 baths,1585
20 Pine Street,03/15/2011,#619,$0,Recorded Closing,1 bed,1 bath,826
20 Pine Street,02/23/2011,#2903,"$670,000","Sold (asking: $945,000.00 -29.1%)",,1 bath,708
20 Pine Street,02/22/2011,#1613A,"$1,380,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,02/02/2011,#1410,"$890,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1101
20 Pine Street,01/31/2011,#1402,"$1,170,000","Sold (asking: $1,225,000.00 -4.49%)",2 beds,2 baths,1277
20 Pine Street,01/27/2011,#2001,"$1,050,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,850
20 Pine Street,01/26/2011,#1802,"$1,295,000",Sold (cannot find gov't record),2 beds,2 baths,1277
20 Pine Street,01/26/2011,#1813,"$1,523,302","Sold (asking: $1,855,000.00 -17.88%)",2 beds,2 baths,1585
20 Pine Street,01/20/2011,#2902,"$970,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,728
20 Pine Street,01/20/2011,#3104,"$1,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1573
20 Pine Street,01/20/2011,#PH12,"$3,500,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1829
20 Pine Street,01/20/2011,#3201,"$2,450,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1579
20 Pine Street,01/20/2011,#1913,"$1,045,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,817
20 Pine Street,01/20/2011,#2601,"$2,515,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,3 baths,1808
20 Pine Street,01/20/2011,#2106,"$2,385,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1807
20 Pine Street,01/20/2011,#607,"$685,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,01/20/2011,#3004,"$2,840,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1575
20 Pine Street,01/20/2011,#1909,"$2,515,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,01/20/2011,#2309,"$1,825,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,01/20/2011,#2503,"$949,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,706
20 Pine Street,01/20/2011,#1912,"$920,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,666
20 Pine Street,01/20/2011,#3002,"$1,930,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1185
20 Pine Street,01/20/2011,#407,"$875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1063
20 Pine Street,01/20/2011,#1816,"$960,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,01/19/2011,#410,"$814,600",Recorded Closing,,,
20 Pine Street,01/19/2011,#2802,"$682,227","Sold (asking: $719,000.00 -5.11%)",studio,1 bath,731
20 Pine Street,01/18/2011,#513,"$1,350,000","Sold (asking: $1,495,000.00 -9.7%)",2 beds,2 baths,1585
20 Pine Street,01/06/2011,#1410,"$890,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1101
20 Pine Street,12/26/2010,Unknown,"$795,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1004
20 Pine Street,12/21/2010,#814,"$1,275,000",Sold (cannot find gov't record),2 beds,2 baths,1204
20 Pine Street,12/21/2010,#PH32,"$1,942,821","Sold (asking: $2,750,000.00 -29.35%)",3 beds,1 bath,1832
20 Pine Street,12/20/2010,#605,"$880,786","Sold (asking: $925,000.00 -4.78%)",,1 bath,1150
20 Pine Street,12/10/2010,#908,"$975,000",Recorded Closing,1 bed,1.5 baths,1208
20 Pine Street,12/01/2010,#1719,$0,Recorded Closing,1 bed,1 bath,830
20 Pine Street,11/11/2010,#1915,"$780,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,703
20 Pine Street,11/10/2010,#2804,"$1,510,000","Sold (asking: $2,030,000.00 -25.62%)",2 beds,2 baths,1500
20 Pine Street,11/05/2010,#1603,"$650,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,10/29/2010,#120807,"$1,895,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2.5 baths,1900
20 Pine Street,10/29/2010,#610,"$850,000","Sold (asking: $895,000.00 -5.03%)",,1 bath,1100
20 Pine Street,10/27/2010,#1116,"$804,417","Sold (asking: $900,000.00 -10.62%)",,1 bath,1005
20 Pine Street,10/22/2010,#913,"$1,575,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,10/22/2010,#716,"$850,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,10/21/2010,#917,"$610,000","Sold (asking: $620,000.00 -1.61%)",studio,1 bath,888
20 Pine Street,10/19/2010,#2109,"$1,261,406","Sold (asking: $1,425,000.00 -11.48%)",2 beds,2 baths,1444
20 Pine Street,10/16/2010,#1107,"$670,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,675
20 Pine Street,10/07/2010,#2702,"$658,000","Sold (asking: $699,000.00 -5.87%)",,1 bath,731
20 Pine Street,10/06/2010,#2605,"$925,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,722
20 Pine Street,10/06/2010,#918,"$1,500,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,09/29/2010,#1208,"$1,149,000",Sold (cannot find gov't record),1 bed,1.5 baths,1208
20 Pine Street,09/24/2010,#504,"$895,000",Sold (cannot find gov't record),1 bed,1.5 baths,949
20 Pine Street,09/24/2010,#613,$0,Recorded Closing,,,
20 Pine Street,09/07/2010,#401,"$1,115,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1276
20 Pine Street,09/07/2010,#2211,"$275,000",Recorded Closing,,1 bath,595
20 Pine Street,09/04/2010,#1119,"$849,000",Sold (cannot find gov't record),1 bed,1 bath,830
20 Pine Street,09/04/2010,#2702,"$650,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,731
20 Pine Street,09/03/2010,#1909,"$2,515,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,09/03/2010,#3201,"$2,450,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1579
20 Pine Street,09/03/2010,#3104,"$1,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1573
20 Pine Street,09/03/2010,#2106,"$2,385,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1807
20 Pine Street,09/03/2010,#3004,"$2,840,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1575
20 Pine Street,09/03/2010,#2503,"$949,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,706
20 Pine Street,09/03/2010,#PH12,"$3,500,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1829
20 Pine Street,09/03/2010,#1913,"$1,045,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,817
20 Pine Street,09/03/2010,#2601,"$2,515,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,3 baths,1808
20 Pine Street,09/03/2010,#1912,"$920,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,666
20 Pine Street,09/03/2010,#2802,"$960,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,728
20 Pine Street,09/03/2010,#607,"$685,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,675
20 Pine Street,09/03/2010,#2702,"$699,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,731
20 Pine Street,09/03/2010,#1613,"$1,815,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,09/03/2010,#1417,"$775,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,888
20 Pine Street,09/03/2010,#3002,"$1,930,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1185
20 Pine Street,09/03/2010,#1816,"$960,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,1005
20 Pine Street,09/03/2010,#407,"$875,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,,1 bath,1063
20 Pine Street,09/03/2010,#918,"$1,510,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,09/03/2010,#2109,"$1,425,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,09/03/2010,#2309,"$1,825,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,09/02/2010,#519,"$799,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,826
20 Pine Street,09/02/2010,#401,"$1,069,162","Sold (asking: $1,115,000.00 -4.11%)",1 bed,2 baths,1276
20 Pine Street,08/31/2010,#2202,"$1,700,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1546
20 Pine Street,08/31/2010,#3104,"$1,895,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1573
