Property,Date,Unit,Price,Listing status,Beds,Baths,ft�
20 Pine Street,11/07/2017,#PH42A,"$2,995,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,2 baths,1865
20 Pine Street,11/01/2017,#2606,"$1,395,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,956
20 Pine Street,10/31/2017,#2901,"$2,750,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,3 beds,3 baths,1891
20 Pine Street,10/20/2017,#1518,"$1,450,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1387
20 Pine Street,10/17/2017,#1713,"$2,150,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,10/05/2017,#2411,"$780,000","Sold (asking: $799,000.00 -2.38%)",studio,1 bath,600
20 Pine Street,09/28/2017,#1413,"$2,325,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1585
20 Pine Street,09/26/2017,#1003,"$646,258",Recorded Closing,,1 bath,656
20 Pine Street,09/25/2017,#709,$0,Recorded Closing,,1 bath,662
20 Pine Street,09/06/2017,#2209,"$1,990,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,08/31/2017,#1111,"$1,260,000",Recorded Closing,1 bed,1 bath,1223
20 Pine Street,08/28/2017,#1204,"$1,595,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1277
20 Pine Street,08/28/2017,#2402,$0,Recorded Closing,,,
20 Pine Street,08/21/2017,#2313,"$915,000","Sold (asking: $920,000.00 -0.54%)",studio,1 bath,815
20 Pine Street,08/18/2017,#1008,"$1,426,000","Sold (asking: $1,495,000.00 -4.62%)",1 bed,1.5 baths,1208
20 Pine Street,08/17/2017,#1908,"$1,380,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,927
20 Pine Street,08/17/2017,#2807,"$1,450,000","Sold (asking: $1,500,000.00 -3.33%)",2 beds,1 bath,1183
20 Pine Street,08/10/2017,#1403,"$868,000","Sold (asking: $879,000.00 -1.25%)",studio,1 bath,656
20 Pine Street,08/07/2017,#2303,"$945,000","Sold (asking: $975,000.00 -3.08%)",studio,1 bath,820
20 Pine Street,08/02/2017,#605,"$1,175,000","Sold (asking: $1,195,000.00 -1.67%)",1 bed,1 bath,1150
20 Pine Street,08/01/2017,#1015,$0,Recorded Closing,,1 bath,822
20 Pine Street,08/01/2017,#1015,"$943,000","Sold (asking: $995,000.00 -5.23%)",studio,1 bath,822
20 Pine Street,07/24/2017,#2001,"$950,000","Sold (asking: $1,095,000.00 -13.24%)",studio,1 bath,850
20 Pine Street,07/14/2017,#2112,"$840,000","Sold (asking: $879,000.00 -4.44%)",studio,1 bath,667
20 Pine Street,07/13/2017,#2309,"$1,950,000","Sold (asking: $1,995,000.00 -2.26%)",2 beds,2 baths,1444
20 Pine Street,06/15/2017,#1014,$0,Recorded Closing,2 beds,2 baths,1204
20 Pine Street,06/13/2017,#1515,"$999,999",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,06/12/2017,#813,"$1,937,500","Sold (asking: $2,195,000.00 -11.73%)",2 beds,2 baths,1585
20 Pine Street,05/31/2017,#910,"$1,395,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1101
20 Pine Street,05/30/2017,#706,"$1,275,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,05/05/2017,#3304,"$2,495,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1575
20 Pine Street,04/29/2017,#2409,"$2,100,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,1444
20 Pine Street,04/28/2017,#1817,"$910,000",Recorded Closing,1 bed,1 bath,888
20 Pine Street,04/27/2017,#2413,"$1,085,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,815
20 Pine Street,04/05/2017,#PH32,"$4,195,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,2 baths,1832
20 Pine Street,04/04/2017,#401,$0,Recorded Closing,1 bed,2 baths,1276
20 Pine Street,04/02/2017,#809,"$799,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,670
20 Pine Street,03/30/2017,#2401,"$950,000","Sold (asking: $950,000.00)",studio,1 bath,827
20 Pine Street,03/27/2017,#4211,"$799,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,600
20 Pine Street,03/24/2017,#1711,"$1,340,000","Sold (asking: $1,395,000.00 -3.94%)",studio,2 baths,1225
20 Pine Street,02/23/2017,#2905,$0,Recorded Closing,,,
20 Pine Street,02/21/2017,#1803,"$799,000",Sold (cannot find gov't record),studio,1 bath,656
20 Pine Street,02/15/2017,#2013,"$950,000",Sold (cannot find gov't record),studio,1 bath,830
20 Pine Street,02/02/2017,#2807,"$1,799,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,1 bath,1183
20 Pine Street,02/02/2017,#2413,"$1,100,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,815
20 Pine Street,01/30/2017,#1803,"$750,000","Sold (asking: $865,000.00 -13.29%)",studio,1 bath,656
20 Pine Street,01/30/2017,#404,"$815,000","Sold (asking: $799,000.00 2.0%)",studio,1 bath,728
20 Pine Street,01/23/2017,#2212,"$860,000","Sold (asking: $879,000.00 -2.16%)",studio,1 bath,667
20 Pine Street,01/13/2017,#1710,"$1,195,000","Sold (asking: $1,225,000.00 -2.45%)",studio,1 bath,1100
20 Pine Street,01/12/2017,#1801,"$1,185,000","Sold (asking: $1,350,000.00 -12.22%)",studio,1 bath,1005
